category,item,cost_bucket,potential_abatement_mtco2eq,icon,is_uncertainty,potential_frac,cost_bucket_potential_rank
Energy,Reducing CH4 emissions from coal mining,50-100 USD,21.6,miner,FALSE,0.04338220526210082,1
Other,Reduce CH4 emissions from wastewater,Negative,21.7,NA,FALSE,0.1767100977198697,1
Energy,Reducing CH4 emissions from coal mining,20-50 USD,28.9,miner,FALSE,0.05804378389234786,1
Other,Reduce emission of fluorinated gas,100-200 USD,28.9,NA,FALSE,0.023421671124078124,1
Other,Reduce CH4 emissions from wastewater,0-20 USD,28.9,NA,FALSE,0.23534201954397393,1
Other,Reduce CH4 emissions from wastewater,50-100 USD,28.9,NA,FALSE,0.23534201954397393,2
Energy,Reducing CH4 emissions from coal mining,Negative,43.3,miner,FALSE,0.08696525406708173,2
Other,Reduce CH4 emissions from solid waste,50-100 USD,43.3,NA,FALSE,0.06978243352135374,3
Other,Reduce CH4 emissions from wastewater,20-50 USD,43.3,NA,FALSE,0.3526058631921824,2
Energy,Reducing CH4 emissions from oil and gas,50-100 USD,57.7,miner,FALSE,0.05029198988930533,4
Other,Reduce CH4 emissions from solid waste,20-50 USD,57.7,NA,FALSE,0.09298952457695407,3
Other,Reduce CH4 emissions from wastewater,100-200 USD,64.8,NA,FALSE,0.5276872964169381,2
Buildings,Onsite renewable production and use,0-20 USD,64.9,NA,FALSE,0.13837953091684435,2
Buildings,Onsite renewable production and use,50-100 USD,64.9,NA,FALSE,0.13837953091684435,5
Buildings,Improving existing building stock,0-20 USD,64.9,buildingup,FALSE,0.24316223304608467,3
Buildings,Improving existing building stock,50-100 USD,64.9,buildingup,FALSE,0.24316223304608467,6
Buildings,Improving existing building stock,100-200 USD,64.9,buildingup,FALSE,0.24316223304608467,3
Energy,Reducing CH4 emissions from oil and gas,20-50 USD,72.2,miner,FALSE,0.06293035823237166,4
Buildings,Onsite renewable production and use,20-50 USD,72.2,NA,FALSE,0.15394456289978678,5
Buildings,Improving existing building stock,20-50 USD,72.2,buildingup,FALSE,0.27051330086174596,6
Other,Reduce CH4 emissions from solid waste,100-200 USD,79.4,NA,FALSE,0.12796132151490736,4
Other,Reduce emission of fluorinated gas,50-100 USD,86.6,NA,FALSE,0.07018396952751438,7
Industry,Reduction of non-CO2 emissions,Uncertainty,89.7,NA,TRUE,0.44405940594059407,1
Energy,Hydropower,50-100 USD,101,hydro,FALSE,0.3182104599873976,8
Energy,Reducing CH4 emissions from oil and gas,100-200 USD,101,miner,FALSE,0.08803277259653099,5
Energy,Hydropower,0-20 USD,108.2,hydro,FALSE,0.34089477000630125,4
Energy,Hydropower,20-50 USD,108.2,hydro,FALSE,0.34089477000630125,7
